mushroom_type,temperature,humidity,co2,ph,growth_days,casing_quality,has_disease,yield_kg,harvest_ready,edible
Poisonous,17.526405878127008,95.83666600666996,1318.0768108964744,6.228010027956379,25,4,0,4.37,0,False
Button,13.281036647325339,83.48162350879727,1491.8109737653394,6.004528351562556,21,6,0,9.67,0,True
Button,25.18308027309424,88.65696262866551,1827.8471791018005,6.496664480721279,22,9,0,6.344,0,True
Poisonous,25.353152360150574,82.68883844792467,1119.6039593691964,6.760308038981633,16,7,0,3.9,0,False
Button,21.98475942562791,91.16420090652791,1594.7689572723186,6.614111716110036,18,9,0,13.48,0,True
Button,20.844705310906072,80.9653059731422,1105.7098774561518,8.146684042297704,18,4,0,9.48,0,True
Poisonous,23.902953975269128,79.27873545175719,1030.3891453385377,6.0122451849323175,25,4,0,3.74,0,False
Button,22.028534011231276,80.02621355841525,1141.467041586672,6.799303204786395,22,6,0,9.34,0,True
Oyster,25.1434759548437,86.78243015515163,1196.3248223114267,6.747319979245881,23,9,0,11.8,1,True
Shiitake,24.4759124781984,92.41784234890115,1652.5930557489874,6.575185829165412,25,5,0,8.0,0,True
Oyster,23.98350232850233,85.51323415640321,1615.2143379120553,7.139104067462796,18,4,0,9.84,0,True
Poisonous,18.94101559808154,85.9048655508988,1259.185202051737,6.514197610742152,21,9,0,11.44,1,False
Shiitake,26.347735490982483,80.55609476788923,1384.3460749911042,6.614522654438102,25,5,0,7.49,0,True
Oyster,21.47320673167893,85.76140235221985,989.7870513733069,6.336818715147333,26,7,0,5.73,0,True
Button,22.988399305884215,84.38732993863245,2029.3718769492723,6.359247444552231,23,7,0,13.57,1,True
Oyster,22.287069412193738,87.22603738435974,892.2239708513182,7.18041478590645,23,6,0,12.8,1,True
Button,18.79827788643309,84.37190921536023,2053.042398869713,6.476645822639831,18,5,0,11.52,0,True
Oyster,23.40942498534613,81.83041745825764,1059.8995377216534,6.252252968647241,20,8,0,4.68,0,True
Button,25.64781091797111,86.13426016464045,1526.0418052087746,6.767318981284259,27,7,0,9.736,0,True
Button,22.749514981877834,85.96688785934536,1276.3549796357504,6.603184428802976,25,7,0,15.51,1,True
Poisonous,24.66186536686095,88.08295887215053,1218.5580703315711,6.355011855890064,25,7,0,6.77,0,False
Oyster,19.779479800782642,81.32366413894746,1306.1619201673814,6.008566503078778,16,7,0,13.4,0,True
Button,18.60207070817411,90.4280009160263,1657.6671494980067,5.925503967751064,21,5,0,8.02,0,True
Shiitake,28.866311630383407,79.38789156533434,1188.9408261093604,6.4953796351312265,15,3,1,2.05,0,True
Button,23.524472201420856,80.90637807136699,1409.079645206,6.891953681580689,15,5,0,8.02,0,True
Poisonous,20.825217877456026,90.06637494564677,1489.0203395933577,7.292665501508707,26,7,0,5.55,0,False
Button,19.860908199404577,87.26971737679962,1962.8269789143876,6.196028478103426,20,7,0,4.72,0,True
